scenario,capacity,capex_per_mwh,hurdle_rate,market_revenue,revenue_per_mwh,cycles,cycles_per_year,effective_cycles,limiting_factor,implied_optimal_hurdle,degradation_cost,net_profit,net_profit_per_mwh
Ex,4,200000,0.0,566418.5028146193,141604.62570365483,3313.9238506469733,552.3206417744956,5000.0,cycle,20.0,530227.8161035157,36190.686711103655,9047.671677775914
Ex,4,200000,2.5,505953.51358602045,126488.37839650511,2770.7688778305187,461.7948129717531,5000.0,cycle,20.0,443323.020452883,62630.49313313747,15657.623283284367
Ex,4,200000,5.0,455445.38707816106,113861.34676954027,2292.959013544086,382.159835590681,5000.0,cycle,20.0,366873.4421670537,88571.94491110736,22142.98622777684
Ex,4,200000,7.5,413807.8098836482,103451.95247091205,1886.187143616816,314.364523936136,4715.46785904204,calendar,21.206803436958484,320000.0,93807.80988364818,23451.952470912045
Ex,4,200000,12.5,349348.7534022707,87337.18835056768,1390.5494852859324,231.7582475476554,3476.373713214831,calendar,28.76560699439976,320000.0,29348.753402270726,7337.1883505676815
Ex,4,200000,10.0,379104.327947094,94776.0819867735,1599.9497530314698,266.6582921719116,3999.874382578674,calendar,25.0007851335399,320000.0,59104.32794709399,14776.081986773497
Ex,4,200000,15.0,323258.430761534,80814.6076903835,1227.4705698838666,204.57842831397775,3068.676424709666,calendar,32.587339347602025,320000.0,3258.430761534022,814.6076903835055
Ex,4,200000,17.5,300107.0334883301,75026.75837208252,1099.1123196559004,183.18538660931674,2747.7807991397513,calendar,36.39300486825843,320000.0,-19892.966511669918,-4973.2416279174795
Ex,4,200000,20.0,279248.5906539318,69812.14766348295,992.6538464988092,165.44230774980153,2481.634616247023,calendar,40.296020753945655,320000.0,-40751.40934606822,-10187.852336517055
Ex,4,200000,22.5,260225.10157917143,65056.27539479286,912.0802312125667,152.0133718687611,2280.2005780314166,calendar,43.85579100516402,320000.0,-59774.89842082857,-14943.724605207142
Ex,4,200000,25.0,242749.49134217954,60687.372835544884,837.3886430718694,139.56477384531158,2093.4716076796735,calendar,47.76754536969159,320000.0,-77250.50865782046,-19312.627164455116
Ex,4,200000,27.5,226746.097817445,56686.52445436125,769.9345019617905,128.32241699363175,1924.8362549044762,calendar,51.952471149273265,320000.0,-93253.902182555,-23313.47554563875
Ex,4,200000,30.0,211884.17487999267,52971.04371999817,714.3814592107079,119.06357653511799,1785.9536480267698,calendar,55.992494603925515,320000.0,-108115.82512000733,-27028.956280001832
Ex,4,200000,32.5,198132.4476750701,49533.11191876753,661.86760318866,110.31126719811,1654.66900797165,calendar,60.43504744346631,320000.0,-121867.55232492989,-30466.88808123247
Ex,4,200000,35.0,185322.29937367956,46330.57484341989,617.2180344742708,102.86967241237846,1543.045086185677,calendar,64.80692035201287,320000.0,-134677.70062632044,-33669.42515658011
Ex,4,200000,40.0,162585.63503479143,40646.40875869786,527.336063907767,87.88934398462783,1318.3401597694174,calendar,75.85295741691611,320000.0,-157414.36496520857,-39353.59124130214
Ex,4,200000,37.5,173498.8200991143,43374.705024778574,567.3870691183822,94.56451151973037,1418.4676727959557,calendar,70.49861052024471,320000.0,-146501.1799008857,-36625.294975221426
S,10,190000,0.0,1408354.1066867781,140835.41066867783,3287.7257616366496,547.9542936061083,5000.0,cycle,19.0,1249335.789421927,159018.31726485118,15901.831726485118
Ex,4,200000,47.5,133953.38874072218,33488.347185180544,428.5101148290192,71.4183524715032,1071.275287072548,calendar,93.34668801449527,320000.0,-186046.61125927782,-46511.652814819456
Ex,4,200000,42.5,152410.19924020558,38102.549810051394,492.5451423149597,82.09085705249329,1231.3628557873994,calendar,81.21083036572078,320000.0,-167589.80075979442,-41897.450189948606
Ex,4,200000,45.0,142869.567453081,35717.39186327025,459.8588231923169,76.64313719871949,1149.6470579807924,calendar,86.98321741947235,320000.0,-177130.432546919,-44282.60813672975
Ex,4,200000,50.0,125678.47229072894,31419.618072682235,397.6773000826999,66.27955001378332,994.1932502067498,calendar,100.58406650739609,320000.0,-194321.52770927106,-48580.381927317765
S,10,190000,2.5,1258322.6276075167,125832.26276075168,2745.5832213057242,457.597203550954,5000.0,cycle,19.0,1043321.624096175,215001.00351134175,21500.100351134177
S,10,190000,5.0,1133167.66949763,113316.76694976301,2273.1263303360147,378.8543883893358,5000.0,cycle,19.0,863788.0055276856,269379.66396994446,26937.966396994445
Ex,4,200000,52.5,118023.54699806237,29505.886749515594,366.3954508466443,61.06590847444071,915.9886271166107,calendar,109.17166113162824,320000.0,-201976.45300193763,-50494.113250484406
S,10,190000,7.5,1030070.6342008614,103007.06342008614,1870.8022787746893,311.80037979578157,4677.005696936723,calendar,20.312141176612574,760000.0,270070.63420086144,27007.063420086146
S,10,190000,10.0,943980.4898594456,94398.04898594457,1587.173866876584,264.528977812764,3967.9346671914604,calendar,23.941926460004407,760000.0,183980.4898594456,18398.04898594456
S,10,190000,12.5,870093.5856888527,87009.35856888528,1382.6756835126785,230.4459472521131,3456.6892087816964,calendar,27.482945171539612,760000.0,110093.5856888527,11009.35856888527
S,10,190000,15.0,805287.169618132,80528.71696181319,1219.9528211917695,203.32547019862827,3049.882052979424,calendar,31.14874554155125,760000.0,45287.16961813194,4528.716961813194
S,10,190000,17.5,747679.8799632471,74767.98799632471,1093.4385546684775,182.23975911141292,2733.5963866711936,calendar,34.75275298987543,760000.0,-12320.120036752895,-1232.0120036752894
S,10,190000,20.0,695760.980253417,69576.09802534171,988.3669562898261,164.72782604830437,2470.9173907245654,calendar,38.447258640298955,760000.0,-64239.019746582955,-6423.901974658295
S,10,190000,22.5,648392.131596255,64839.2131596255,908.4444210389413,151.40740350649023,2271.1110525973536,calendar,41.82974667458615,760000.0,-111607.868403745,-11160.7868403745
S,10,190000,25.0,604938.8452688872,60493.88452688872,833.5839724713975,138.93066207856626,2083.9599311784937,calendar,45.58628915013584,760000.0,-155061.15473111277,-15506.115473111277
S,10,190000,27.5,565042.4948818347,56504.24948818347,767.4046930329018,127.9007821721503,1918.5117325822546,calendar,49.517549664464696,760000.0,-194957.50511816528,-19495.750511816528
S,10,190000,30.0,528048.5104467974,52804.85104467974,711.4971600612123,118.58286001020205,1778.7429001530309,calendar,53.40850551916573,760000.0,-231951.48955320264,-23195.148955320263
S,10,190000,32.5,493785.24946851586,49378.52494685158,659.6044131762815,109.93406886271357,1649.0110329407037,calendar,57.61028768290605,760000.0,-266214.75053148414,-26621.475053148413
S,10,190000,37.5,432458.7566366916,43245.87566366916,564.9042096432747,94.15070160721245,1412.260524108187,calendar,67.2680418225175,760000.0,-327541.2433633084,-32754.12433633084
M,100,180000,0.0,13436670.424387578,134366.70424387578,3090.4681183452494,515.0780197242083,5000.0,cycle,18.0,11125685.226042898,2310985.1983446795,23109.851983446795
S,10,190000,40.0,405223.6574650733,40522.36574650733,525.483316783602,87.580552797267,1313.708291959005,calendar,72.31437951749226,760000.0,-354776.3425349267,-35477.63425349267
S,10,190000,35.0,461895.47138113435,46189.547138113434,614.1877148132626,102.36461913554376,1535.4692870331564,calendar,61.87033553993099,760000.0,-298104.52861886565,-29810.452861886566
S,10,190000,42.5,379837.41271928407,37983.741271928404,491.02666965969274,81.83777827661545,1227.5666741492319,calendar,77.38887182306411,760000.0,-380162.58728071593,-38016.258728071596
S,10,190000,45.0,356066.722385932,35606.6722385932,458.407504374748,76.40125072912467,1146.01876093687,calendar,82.89567609027407,760000.0,-403933.277614068,-40393.3277614068
M,100,180000,2.5,12037313.976999843,120373.13976999844,2546.206229363888,424.3677048939813,5000.0,cycle,18.0,9166342.425709996,2870971.551289847,28709.71551289847
S,10,190000,47.5,333876.0877175401,33387.60877175401,427.03238375924514,71.1720639598742,1067.580959398113,calendar,88.98622550701883,760000.0,-426123.9122824599,-42612.39122824599
M,100,180000,5.0,10879740.336572595,108797.40336572594,2096.0173213448456,349.33622022414096,5000.0,cycle,18.0,7545662.356841445,3334077.97973115,33340.7797973115
M,100,180000,7.5,9926023.89254437,99260.2389254437,1743.9679467200326,290.66132445333875,4359.919866800081,calendar,20.64258122846065,7200000.0,2726023.89254437,27260.2389254437
M,100,180000,10.0,9119437.7219951,91194.377219951,1494.5133953557981,249.085565892633,3736.2834883894952,calendar,24.088107949965543,7200000.0,1919437.7219951004,19194.377219951002
M,100,180000,12.5,8420899.92837439,84208.99928374389,1310.936028640146,218.489338106691,3277.3400716003653,calendar,27.46129423061425,7200000.0,1220899.9283743892,12208.999283743891
M,100,180000,15.0,7804596.942704421,78045.96942704421,1162.0571505013393,193.6761917502232,2905.1428762533483,calendar,30.97954346261605,7200000.0,604596.9427044205,6045.969427044205
S,10,190000,50.0,313305.00619755127,31330.500619755127,395.50537567152185,65.9175626119203,988.7634391788046,calendar,96.079604317591,760000.0,-446694.99380244873,-44669.49938024487
M,100,180000,17.5,7253368.241637891,72533.68241637891,1045.3372301840516,174.22287169734193,2613.343075460129,calendar,34.43864712793355,7200000.0,53368.24163789116,533.6824163789116
M,100,180000,20.0,6754811.6977931205,67548.1169779312,952.7979962266468,158.79966603777447,2381.994990566617,calendar,37.78345477485293,7200000.0,-445188.3022068795,-4451.883022068795
M,100,180000,22.5,6297799.855272668,62977.99855272668,875.2180749953475,145.86967916589126,2188.045187488369,calendar,41.132605722512494,7200000.0,-902200.1447273316,-9022.001447273316
M,100,180000,25.0,5878243.6247592755,58782.436247592756,803.7836794241175,133.96394657068626,2009.459198560294,calendar,44.78816990386358,7200000.0,-1321756.3752407245,-13217.563752407244
M,100,180000,27.5,5492540.393559631,54925.40393559631,744.0501116822273,124.0083519470379,1860.1252792055684,calendar,48.38383790926042,7200000.0,-1707459.606440369,-17074.59606440369
M,100,180000,30.0,5134205.798943681,51342.057989436806,689.2044810975336,114.86741351625561,1723.0112027438342,calendar,52.23413513311939,7200000.0,-2065794.2010563193,-20657.942010563194
S,10,190000,52.5,292656.1277819037,29265.61277819037,359.33244604950494,59.888741008250825,898.3311151237624,calendar,105.75165259294388,760000.0,-467343.8722180963,-46734.38722180963
L,1000,170000,0.0,95872091.37996411,95872.09137996411,1796.2527274884162,299.3754545814027,4490.631818721041,calendar,18.928294153540406,68000000.0,27872091.379964113,27872.091379964113
M,100,180000,32.5,4801577.768286772,48015.77768286772,642.3908282241903,107.06513803736505,1605.9770705604756,calendar,56.04065067292062,7200000.0,-2398422.231713228,-23984.22231713228
M,100,180000,35.0,4492681.32728399,44926.8132728399,592.1192739081565,98.68654565135942,1480.2981847703913,calendar,60.79856134793537,7200000.0,-2707318.6727160104,-27073.186727160104
L,1000,170000,2.5,87746008.5294198,87746.00852941979,1491.233975678652,248.53899594644201,3728.0849391966303,calendar,22.79990970868726,68000000.0,19746008.529419795,19746.008529419796
L,1000,170000,5.0,80831141.73687121,80831.14173687121,1285.3090969973982,214.2181828328997,3213.2727424934956,calendar,26.452780953178628,68000000.0,12831141.736871213,12831.141736871212
M,100,180000,37.5,4208269.45518361,42082.6945518361,547.5833574846365,91.26389291410608,1368.9583937115913,calendar,65.74341514937304,7200000.0,-2991730.5448163897,-29917.305448163897
L,1000,170000,7.5,74809288.46015844,74809.28846015844,1132.2866472861506,188.71444121435843,2830.7166182153765,calendar,30.027732007165095,68000000.0,6809288.4601584375,6809.288460158437
M,100,180000,40.0,3943974.7872649785,39439.74787264979,510.8740137111995,85.14566895186658,1277.1850342779987,calendar,70.46747149748556,7200000.0,-3256025.2127350215,-32560.252127350213
L,1000,170000,10.0,69459087.53836936,69459.08753836936,1013.8279481078423,168.9713246846404,2534.569870269606,calendar,33.536262305113894,68000000.0,1459087.5383693576,1459.0875383693576
L,1000,170000,12.5,64636410.63805807,64636.41063805806,919.6644589943186,153.27740983238644,2299.1611474857964,calendar,36.970005383463494,68000000.0,-3363589.3619419336,-3363.5893619419335
M,100,180000,42.5,3696929.478282716,36969.294782827164,478.1653509844679,79.69422516407799,1195.4133774611698,calendar,75.28776379526792,7200000.0,-3503070.521717284,-35030.705217172836
L,1000,170000,15.0,60240429.152089104,60240.429152089106,842.5699032545682,140.4283172090947,2106.4247581364207,calendar,40.35273497032029,68000000.0,-7759570.847910896,-7759.570847910896
L,1000,170000,17.5,56197887.470032334,56197.887470032336,774.9071936322223,129.15119893870371,1937.2679840805558,calendar,43.87622192617906,68000000.0,-11802112.529967666,-11802.112529967666
L,1000,170000,20.0,52478533.24837839,52478.533248378386,712.9930628602066,118.83217714336776,1782.4826571505164,calendar,47.68629846636563,68000000.0,-15521466.751621611,-15521.466751621612
M,100,180000,45.0,3466358.172437162,34663.58172437162,445.01526805212563,74.16921134202094,1112.5381701303143,calendar,80.89610084070921,7200000.0,-3733641.827562838,-37336.41827562838
L,1000,170000,22.5,49053603.75872119,49053.60375872119,657.5604714776637,109.59341191294395,1643.9011786941592,calendar,51.706271095638584,68000000.0,-18946396.241278812,-18946.396241278813
L,1000,170000,25.0,45891017.4233073,45891.0174233073,608.444679752445,101.4074466254075,1521.1116993811124,calendar,55.88018291791691,68000000.0,-22108982.5766927,-22108.9825766927
L,1000,170000,27.5,42961815.07160525,42961.81507160525,564.2335112380617,94.03891853967696,1410.5837780951542,calendar,60.25873919717382,68000000.0,-25038184.92839475,-25038.18492839475
L,1000,170000,30.0,40243894.12794755,40243.89412794755,523.7195915864895,87.28659859774825,1309.2989789662238,calendar,64.92023698598848,68000000.0,-27756105.872052453,-27756.105872052452
M,100,180000,47.5,3251478.081749282,32514.780817492818,413.30346663709685,68.88391110618281,1033.2586665927422,calendar,87.10306809889397,7200000.0,-3948521.918250718,-39485.21918250718
L,1000,170000,32.5,37719349.30186522,37719.34930186522,486.2901139418084,81.04835232363473,1215.7252848545209,calendar,69.91711125772257,68000000.0,-30280650.69813478,-30280.65069813478
L,1000,170000,35.0,35377482.076841734,35377.482076841734,450.3998157846972,75.0666359641162,1125.999539461743,calendar,75.48848558200316,68000000.0,-32622517.923158266,-32622.517923158266
L,1000,170000,37.5,33207048.04272346,33207.04804272346,417.60837448029145,69.60139574671524,1044.0209362007286,calendar,81.41599181844136,68000000.0,-34792951.95727654,-34792.951957276535
M,100,180000,50.0,3052345.8404214066,30523.458404214067,381.6112742735898,63.6018790455983,954.0281856839746,calendar,94.33683548403343,7200000.0,-4147654.1595785934,-41476.54159578594
XL,10000,160000,0.0,301629195.76112515,30162.919576112516,407.1225919818476,67.85376533030794,1017.806479954619,calendar,78.60040349081582,640000000.0,-338370804.23887485,-33837.080423887484
L,1000,170000,40.0,31193369.395634245,31193.369395634247,388.2193913686036,64.70323189476727,970.5484784215091,calendar,87.57934496815986,68000000.0,-36806630.60436575,-36806.63060436575
XL,10000,160000,2.5,282316981.62597156,28231.698162597157,366.3454951502271,61.05758252503785,915.8637378755677,calendar,87.3492384200815,640000000.0,-357683018.37402844,-35768.30183740285
L,1000,170000,42.5,29320492.01077439,29320.49201077439,360.6529952830547,60.10883254717578,901.6324882076367,calendar,94.27344412685513,68000000.0,-38679507.98922561,-38679.50798922561
XL,10000,160000,5.0,264845339.5533486,26484.53395533486,333.27150514159007,55.54525085693168,833.1787628539752,calendar,96.01780982266945,640000000.0,-375154660.4466514,-37515.46604466514
